message,label
Your OTP for mobile banking is 482119. Do not share it with anyone.,LEGITIMATE
Meeting moved to 3 PM. Please confirm if you can still attend.,LEGITIMATE
Hi mom, I reached the office safely and will call you later.,LEGITIMATE
Your parcel will be delivered tomorrow between 9 AM and 12 PM.,LEGITIMATE
Please review the attached invoice and let me know if there are questions.,LEGITIMATE
Dinner is at 7 tonight. We are waiting for you.,LEGITIMATE
Your appointment has been scheduled for Friday at 10:30 AM.,LEGITIMATE
Thanks for your payment. Your receipt is attached.,LEGITIMATE
Remember to bring your student ID to the exam hall.,LEGITIMATE
Can you send me the address before you leave?,LEGITIMATE
I will be late by 15 minutes because of traffic.,LEGITIMATE
The school bus will arrive at the gate shortly.,LEGITIMATE
Free entry to our concert tonight. Reply YES to join now.,SPAM
Congratulations, you have won a free gift card. Click here to claim now.,SPAM
Limited time promo on data bundles. Buy now and save.,SPAM
Get 50 percent discount on all items. Visit our site today.,SPAM
You have been selected for a special offer. Subscribe to receive deals.,SPAM
Earn rewards fast with our amazing deal. Unsubscribe anytime.,SPAM
New sale starts now with huge discounts on shoes and bags.,SPAM
Claim your free voucher by replying with your name.,SPAM
Promo alert. Tap here for a bonus offer and free airtime.,SPAM
Cheap loans available. Apply now and get instant approval.,SPAM
Win cash prizes every day. Enter the draw before midnight.,SPAM
Exclusive flash sale. Click the link for limited offer.,SPAM
Your bank account has been blocked. Verify your account immediately.,FRAUD
Urgent. Your mobile money account is suspended. Click here to restore access.,FRAUD
Send your PIN to verify your wallet and unlock the payment.,FRAUD
We detected suspicious activity. Share your OTP now to confirm identity.,FRAUD
Congratulations, your account has won $10,000. Reply with your details.,FRAUD
Your card has been frozen. Enter your card number to continue.,FRAUD
Update your payment information or your account will be closed today.,FRAUD
Urgent action required. Confirm your password to avoid suspension.,FRAUD
You must verify your account by sending your PIN to this number.,FRAUD
Your money transfer failed. Click the link and enter your login details.,FRAUD
Someone tried to access your account. Send your OTP to secure it.,FRAUD
Your wallet has been limited. Share your account number for verification.,FRAUD
The prize claim link is ready. Click here and provide your bank password.,FRAUD
Immediate action required. Your tax refund is pending, submit your card details.,FRAUD
Your package is held. Confirm your identity and send your password.,FRAUD
